stn,lat,lon,tmpf,relh,mslp,uwind,vwind,gust,precip
C1707,37.323,-92.981,48,33,1020.31,3.04,-5.27,14.77,0
C1906,37.085,-93.236,51,23,1018.96,1.34,-2.24,0,0
C2028,37.023,-93.349,53,33,1016.25,2.5,0,8.69,0
C2303,38.445,-90.414,46,47,1020.31,0.9,-4.25,12.17,0
C4221,38.81,-94.265,46,33,1022,-2.69,-8.26,14.77,0
C4480,38.84,-90.855,47,38,1017.27,1.63,-4.02,15.64,0
C5071,36.366,-89.935,55,34,1018.96,9.79,-5.65,18.25,0
C6286,38.94,-92.361,43,41,1021.33,0.81,-2.48,11.3,0
C6864,36.954,-92.663,54,13,1018.62,-4.13,-1.34,6.08,0
C7014,37.661,-91.554,48,36,1019.97,6.8,-1.44,13.9,0
C8078,37.176,-94.375,51,19,1022.68,1.63,-4.02,11.3,0
C8859,38.416,-90.681,49,36,1016.93,0.15,-1.73,9.56,0
AS302,38.7,-90.4,44,41,1017.27,1.53,-2.11,7.82,0
C9366,37.946,-90.928,44,44,1020.99,3.04,-5.27,13.9,0
D0268,38.765,-90.803,45,40,1017.94,4.8,-2.04,14.77,0
D0367,39.171,-91.868,45,40,1021.33,5.2,-0.27,16.51,0
D1085,38.91,-94.439,45,30,1024.71,4.32,-0.45,13.9,0
D1779,38.442,-91.002,45,38,1018.62,0.69,-0.54,11.3,0
D0229,38.919,-94.552,48,29,1023.02,2.98,0,8.69,0
D2956,38.865,-91.934,47,44,1019.97,3.72,-2.24,11.3,0
D4248,40.059,-94.66,43,30,1023.02,16.39,0,24.33,0
D5684,36.181,-89.651,57,32,1017.27,1.83,-3.93,8.69,0
D6431,38.726,-90.347,45,33,1017.94,2.51,-0.72,6.95,0
D6497,37.598,-94.286,53,24,1022.34,6.19,-3.16,16.51,0
D6513,36.846,-94.587,51,38,1023.02,-0.23,-2.6,5.21,0
D6357,36.767,-92.268,53,30,1018.62,8.61,1.21,19.99,0
D7440,37.605,-93.621,50,29,1023.7,2.49,3.56,12.17,0
D7816,38.977,-92.744,45,38,1020.31,2.95,-1.84,9.56,0
D7737,39.429,-92.936,48,31,1020.31,4.6,-2.45,13.9,0
D6068,38.206,-90.693,46,36,1016.93,3.35,-3.99,13.03,0
D9324,37.185,-93.362,53,28,1021.67,0.33,-0.81,3.48,0
D9982,38.133,-90.558,49,37,1016.59,3.28,-2.85,8.69,0
E0590,36.583,-93.407,58,31,1018.62,7.35,-2.67,16.51,0
E0229,38.49,-90.385,46,36,1018.28,1.31,-2.26,8.69,0
E1044,38.062,-91.408,44,45,1016.93,9.03,-5.22,15.64,0
E2356,38,-92.732,48,21,1022.68,-2.19,1.42,16.51,0
E2514,39.255,-94.477,46,19,1024.37,0.3,-3.47,14.77,0
E2862,38.724,-90.63,47,41,1018.96,-0.03,-1.74,6.95,2.06
E3082,39.275,-94.475,43,31,1024.71,8.86,-3.58,19.12,0
E3196,36.841,-92.643,52,32,1020.31,2.5,0.76,8.69,0
E3476,37.989,-91.781,46,40,1019.3,1.78,-4.9,13.9,0
E2874,36.812,-93.246,51,34,1019.64,4.64,2.37,11.3,0
E4219,38.484,-93.252,44,40,1022,10.8,-8.75,19.12,0
E0631,36.588,-94.486,56,35,1020.31,-1.54,-0.82,7.82,0
E4355,38.408,-90.755,43,55,1018.62,-0.45,-4.32,14.77,0
E4983,38.591,-90.417,45,40,1018.28,1.74,0.03,13.03,0
E6063,38.694,-90.8,45,42,1018.62,3.75,-3.62,13.9,0
D1762,38.838,-90.88,45,41,1019.97,6.91,-0.73,13.9,0
E6435,38.483,-90.758,48,37,1017.94,3.18,-1.42,13.03,0
E6766,37.125,-92.629,50,21,1017.61,7.26,-8.66,14.77,0
E7257,38.722,-92.253,49,36,1019.97,1.73,0.15,12.17,0
E7436,39.014,-91.892,44,42,1019.97,1.48,4.08,16.51,0
E7939,38.774,-90.611,48,24,1016.93,0.87,0.02,1.74,0
E7961,36.209,-90.073,59,28,1016.25,-0.05,-2.61,8.69,0
WS002,38.746,-90.539,46.2,37,1017.61,-2.25,-5.56,12.1,0
WS003,38.636,-90.227,45.5,38,1020.14,-1.51,8.57,13.2,0
WS010,40.086,-95.343,46,29,1028.55,5.18,-5.56,12.3,0
